Symbol,Date,Open,High,Low,Close,Volume
AAPL,20250103,$243.36,$244.18,$241.89,$243.36,40244110
AAPL,20250102,$248.93,$249.10,$241.8201,$243.85,55740730
AAPL,20241231,$252.44,$253.28,$249.43,$250.42,39480720
AAPL,20241230,$252.23,$253.50,$250.75,$252.20,35557540
AAPL,20241227,$257.83,$258.70,$253.06,$255.59,42355320
AAPL,20241226,$258.19,$260.10,$257.63,$259.02,27262980
AAPL,20241224,$255.49,$258.21,$255.29,$258.20,23234710
AAPL,20241223,$254.77,$255.65,$253.45,$255.27,40858770
AAPL,20241220,$248.04,$255.00,$245.69,$254.49,147495300
AAPL,20241219,$247.50,$252.00,$247.0949,$249.79,60882260
AAPL,20241218,$252.16,$254.28,$247.74,$248.05,56774100
AAPL,20241217,$250.08,$253.83,$249.78,$253.48,51356360
AAPL,20241216,$247.99,$251.38,$247.65,$251.04,51694750
AAPL,20241213,$247.815,$249.2902,$246.24,$248.13,33155290
AAPL,20241212,$246.89,$248.74,$245.68,$247.96,32777530
AAPL,20241211,$247.96,$250.80,$246.2601,$246.49,45205810
AAPL,20241210,$246.89,$248.21,$245.34,$247.77,36914810
AAPL,20241209,$241.83,$247.24,$241.75,$246.75,44649230
AAPL,20241206,$242.905,$244.63,$242.08,$242.84,36870620
AAPL,20241205,$243.99,$244.54,$242.13,$243.04,40033880
AAPL,20241204,$242.87,$244.11,$241.25,$243.01,44383940
AAPL,20241203,$239.81,$242.76,$238.90,$242.65,38861020
AAPL,20241202,$237.27,$240.79,$237.16,$239.59,48137100
AAPL,20241129,$234.805,$237.81,$233.97,$237.33,28481380
AAPL,20241127,$234.465,$235.69,$233.8101,$234.93,33498440
AAPL,20241126,$233.33,$235.57,$233.33,$235.06,45986190
AAPL,20241125,$231.46,$233.245,$229.74,$232.87,90152830
AAPL,20241122,$228.06,$230.7199,$228.06,$229.87,38168250
AAPL,20241121,$228.88,$230.155,$225.7103,$228.52,42108330
AAPL,20241120,$228.06,$229.93,$225.89,$229.00,35169570
AAPL,20241119,$226.98,$230.16,$226.66,$228.28,36211770
AAPL,20241118,$225.25,$229.74,$225.17,$228.02,44686020
AAPL,20241115,$226.40,$226.92,$224.27,$225.00,47923700
AAPL,20241114,$225.02,$228.87,$225.00,$228.22,44923940
AAPL,20241113,$224.01,$226.65,$222.76,$225.12,48566220
AAPL,20241112,$224.55,$225.59,$223.355,$224.23,40398300
AAPL,20241111,$225.00,$225.70,$221.50,$224.23,42005600
AAPL,20241108,$227.17,$228.66,$226.405,$226.96,38328820
AAPL,20241107,$224.625,$227.875,$224.57,$227.48,42137690
AAPL,20241106,$222.61,$226.065,$221.19,$222.72,54561120
AAPL,20241105,$221.795,$223.95,$221.14,$223.45,28111340
AAPL,20241104,$220.99,$222.79,$219.71,$222.01,44944470
AAPL,20241101,$220.965,$225.35,$220.27,$222.91,65276740
AAPL,20241031,$229.34,$229.83,$225.37,$225.91,64370090
AAPL,20241030,$232.61,$233.47,$229.55,$230.10,47070910
AAPL,20241029,$233.10,$234.325,$232.32,$233.67,35417250
AAPL,20241028,$233.32,$234.73,$232.55,$233.40,36087130
AAPL,20241025,$229.74,$233.22,$229.57,$231.41,38802300
AAPL,20241024,$229.98,$230.82,$228.41,$230.57,31109500
AAPL,20241023,$234.08,$235.144,$227.76,$230.76,52286980
AAPL,20241022,$233.885,$236.22,$232.60,$235.86,38846580
AAPL,20241021,$234.45,$236.85,$234.45,$236.48,36254470
AAPL,20241018,$236.18,$236.18,$234.01,$235.00,46431470
AAPL,20241017,$233.43,$233.85,$230.52,$232.15,32993810
AAPL,20241016,$231.60,$232.12,$229.84,$231.78,34082240
AAPL,20241015,$233.61,$237.49,$232.37,$233.85,64751370
AAPL,20241014,$228.70,$231.73,$228.60,$231.30,39882090
AAPL,20241011,$229.30,$229.41,$227.34,$227.55,31759190
AAPL,20241010,$227.78,$229.50,$227.17,$229.04,28183540
AAPL,20241009,$225.23,$229.75,$224.83,$229.54,33591090
AAPL,20241008,$224.30,$225.98,$223.25,$225.77,31855690
AAPL,20241007,$224.50,$225.69,$221.33,$221.69,39505350
AAPL,20241004,$227.90,$228.00,$224.13,$226.80,37345100
AAPL,20241003,$225.14,$226.805,$223.32,$225.67,34044160
AAPL,20241002,$225.89,$227.37,$223.02,$226.78,32880610
AAPL,20241001,$229.52,$229.65,$223.74,$226.21,63285050
AAPL,20240930,$230.04,$233.00,$229.65,$233.00,54793390
AAPL,20240927,$228.46,$229.52,$227.30,$227.79,34025970
AAPL,20240926,$227.30,$228.50,$225.41,$227.52,36636710
AAPL,20240925,$224.93,$227.29,$224.02,$226.37,42308720
AAPL,20240924,$228.645,$229.35,$225.73,$227.37,43556070
AAPL,20240923,$227.34,$229.45,$225.81,$226.47,54146020
AAPL,20240920,$229.97,$233.09,$227.62,$228.20,318679900
AAPL,20240919,$224.99,$229.82,$224.63,$228.87,66781320
AAPL,20240918,$217.55,$222.71,$217.54,$220.69,59894930
AAPL,20240917,$215.75,$216.90,$214.50,$216.79,45519340
AAPL,20240916,$216.54,$217.22,$213.92,$216.32,59357430
AAPL,20240913,$223.58,$224.04,$221.91,$222.50,36766620
AAPL,20240912,$222.50,$223.55,$219.82,$222.77,37498230
AAPL,20240911,$221.455,$223.09,$217.89,$222.66,44587070
AAPL,20240910,$218.92,$221.48,$216.73,$220.11,51591030
AAPL,20240909,$220.82,$221.27,$216.71,$220.91,67179970
AAPL,20240906,$223.95,$225.24,$219.77,$220.82,48423010
AAPL,20240905,$221.625,$225.48,$221.52,$222.38,36615400
AAPL,20240904,$221.66,$221.78,$217.48,$220.85,43840200
AAPL,20240903,$228.55,$229.00,$221.17,$222.77,50190570
AAPL,20240830,$230.19,$230.40,$227.48,$229.00,52990770
AAPL,20240829,$230.10,$232.92,$228.88,$229.79,51906300
AAPL,20240828,$227.92,$229.86,$225.68,$226.49,38052170
AAPL,20240827,$225.995,$228.85,$224.89,$228.03,35934560
AAPL,20240826,$226.76,$227.28,$223.8905,$227.18,30602210
AAPL,20240823,$225.659,$228.22,$224.33,$226.84,38677250
AAPL,20240822,$227.79,$228.34,$223.90,$224.53,43695320
AAPL,20240821,$226.52,$227.98,$225.05,$226.40,34765480
AAPL,20240820,$225.77,$227.17,$225.45,$226.51,30299030
AAPL,20240819,$225.72,$225.99,$223.04,$225.89,40687810
AAPL,20240816,$223.92,$226.8271,$223.6501,$226.05,44340240
AAPL,20240815,$224.60,$225.35,$222.76,$224.72,46414010
AAPL,20240814,$220.57,$223.03,$219.70,$221.72,41960570
AAPL,20240813,$219.01,$221.89,$219.01,$221.27,44155330
AAPL,20240812,$216.07,$219.5099,$215.60,$217.53,38028090
AAPL,20240809,$212.10,$216.78,$211.97,$216.24,42201650
AAPL,20240808,$213.11,$214.20,$208.83,$213.31,47161150
AAPL,20240807,$206.90,$213.64,$206.39,$209.82,63516420
AAPL,20240806,$205.30,$209.99,$201.07,$207.23,69660490
AAPL,20240805,$199.09,$213.50,$196.00,$209.27,119548600
AAPL,20240802,$219.15,$225.60,$217.71,$219.86,105568600
AAPL,20240801,$224.37,$224.48,$217.02,$218.36,62501000
AAPL,20240731,$221.44,$223.82,$220.63,$222.08,50036260
AAPL,20240730,$219.19,$220.325,$216.12,$218.80,41643840
AAPL,20240729,$216.96,$219.30,$215.75,$218.24,36311780
AAPL,20240726,$218.70,$219.49,$216.01,$217.96,41601350
AAPL,20240725,$218.93,$220.85,$214.62,$217.49,51391200
AAPL,20240724,$224.00,$224.80,$217.13,$218.54,61777580
AAPL,20240723,$224.365,$226.94,$222.68,$225.01,39960260
AAPL,20240722,$227.01,$227.78,$223.09,$223.96,48201840
AAPL,20240719,$224.82,$226.80,$223.275,$224.31,49151450
AAPL,20240718,$230.28,$230.44,$222.27,$224.18,66034590
AAPL,20240717,$229.45,$231.4599,$226.64,$228.88,57345880
AAPL,20240716,$235.00,$236.27,$232.33,$234.82,43234280
AAPL,20240715,$236.48,$237.23,$233.09,$234.40,62631250
AAPL,20240712,$228.92,$232.64,$228.68,$230.54,53046530
AAPL,20240711,$231.39,$232.39,$225.77,$227.57,64710620
AAPL,20240710,$229.30,$233.08,$229.25,$232.98,62627690
AAPL,20240709,$227.93,$229.40,$226.3721,$228.68,48169820
AAPL,20240708,$227.09,$227.85,$223.25,$227.82,59085860
AAPL,20240705,$221.65,$226.45,$221.65,$226.34,60412410
AAPL,20240703,$220.00,$221.55,$219.03,$221.55,37369800
AAPL,20240702,$216.15,$220.38,$215.10,$220.27,58046180
AAPL,20240701,$212.09,$217.51,$211.92,$216.75,60402930
AAPL,20240628,$215.77,$216.07,$210.30,$210.62,82542720
AAPL,20240627,$214.69,$215.7395,$212.35,$214.10,49772710
AAPL,20240626,$211.50,$214.86,$210.64,$213.25,66213190
AAPL,20240625,$209.15,$211.38,$208.61,$209.07,56713870
AAPL,20240624,$207.72,$212.70,$206.59,$208.14,80727010
AAPL,20240621,$210.39,$211.89,$207.11,$207.49,246421400
AAPL,20240620,$213.93,$214.24,$208.85,$209.68,86172450
AAPL,20240618,$217.59,$218.63,$213.00,$214.29,79943250
AAPL,20240617,$213.37,$218.95,$212.72,$216.67,93728300
